Lambda,F values,Returns,Covariances,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,asset_9,asset_10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,-0.0062904104883245255,0.0062904104883245255,0.0014638127785562985,25,7,16,24,11,3,8,18,4,13,0.0,0.0,0.0,0.010836164101994885,0.20109306913669417,0.0,0.0,0.09219138757424457,0.20103754875825158,0.0,0.0,0.12606746741121394,0.0,0.11080522451472712,0.0,0.0,0.0251045339007321,0.0,0.10955216839090881,0.0,0.0,0.0,0.0,0.0,0.03212614104199834,0.09118629516923467,0.0,0.0,0.0,0.0,0.0
0.02040816326530612,-0.00609113809211626,0.006247349110798287,0.0014069908046210342,20,12,8,1,30,4,24,13,19,5,0.0,0.10603619516539711,0.0,0.0,0.23836526798991897,0.028511329823382503,0.0,0.0,0.22622964383042107,0.0,0.0,0.0,0.18713087811208604,0.052650407927973264,0.0,0.0,0.0,0.0,0.0,0.05382196545989522,0.015941397707630724,0.0,0.0,0.0,0.01383490478790665,0.0,0.0,0.0,0.0,0.0,0.07747800919538843
0.04081632653061224,-0.006051032053934037,0.00637077332202194,0.001462887746131688,18,11,7,14,8,25,17,4,28,26,0.0,0.0,0.0,0.0,0.2638232622546641,0.0,0.0,0.09198283492082701,0.1672563938673173,0.0,0.0,0.0801864015448581,0.0,0.0,0.038209375355582706,0.0,0.0,0.11004042922991181,0.06983210853183895,0.0,0.0,0.0,0.0,0.0,0.0,0.055417277965923294,0.04142549436827036,0.0,0.0818264219608064,0.0,0.0
0.061224489795918366,-0.00614531990905268,0.006642396087574975,0.0014765148282891837,2,14,0,8,11,28,7,4,18,6,0.023149426216266575,0.0,0.01322916998631535,0.0,0.24472127434100174,0.0,0.03465714080850172,0.025720153052974502,0.15494254238956562,0.0,0.0,0.23102265519329926,0.0,0.0,0.06554897565256901,0.0,0.0,0.0,0.09871833201329656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10829033034620977,0.0,0.0
0.08163265306122448,-0.005588050552268203,0.006207648680616365,0.0013824283916486217,1,7,0,12,24,19,13,11,25,4,0.04005350440862227,0.05431896114818079,0.0,0.0,0.26660214393553855,0.0,0.0,0.1515196434099645,0.0,0.0,0.0,0.08829472054219947,0.08483169474414223,0.016993691862279944,0.0,0.0,0.0,0.0,0.0,0.12866284843632947,0.0,0.0,0.0,0.0,0.022222777414272993,0.14650001409846974,0.0,0.0,0.0,0.0,0.0
0.10204081632653061,-0.005729643259237279,0.006559467761286158,0.0015728123587928553,1,15,19,8,24,16,4,26,30,11,0.0,0.08703704935487631,0.0,0.0,0.27676011330577993,0.0,0.0,0.0,0.324071754168334,0.0,0.0,0.04707037808773638,0.0,0.0,0.0,0.02714278347756712,0.027715340527338185,0.0,0.0,0.037060242692808595,0.0,0.0,0.0,0.0,0.07628378275325427,0.0,0.01433655150670986,0.0,0.0,0.0,0.08252200412559538
0.12244897959183673,-0.0057148829657874545,0.006688577313154678,0.0012632598570109777,11,23,3,22,14,28,15,8,4,25,0.0,0.0,0.0,0.015249596394444356,0.26106384415793793,0.0,0.0,0.0,0.07810002446042406,0.0,0.0,0.17881486767084184,0.0,0.0,0.10275244571460017,0.01239027330714098,0.0,0.0,0.0,0.0,0.0,0.0,0.06702636061809497,0.010478283687814886,0.0,0.05680662874677959,0.0,0.0,0.21731767524192122,0.0,0.0
0.14285714285714285,-0.0050911150083630535,0.006161442309200717,0.0013308487966629274,4,11,16,15,8,1,28,7,18,22,0.0,0.08461774458633642,0.0,0.0,0.19012714046137474,0.0,0.0,0.07645602937726469,0.15003296048348275,0.0,0.0,0.02504589742879504,0.0,0.0,0.0,0.029866665692345147,0.047006330603754344,0.0,0.13263709020327072,0.0,0.0,0.0,0.07797255857677153,0.0,0.0,0.0,0.0,0.0,0.1862375825866045,0.0,0.0
0.16326530612244897,-0.005325841445642914,0.006687337019933653,0.001651823372597127,16,4,1,15,8,11,12,2,6,25,0.0,0.19410338280203832,0.024798112093197433,0.0,0.3805483509911929,0.0,0.03334911685251551,0.0,0.08072873269922048,0.0,0.0,0.05557442019604609,0.14731668031759107,0.0,0.0,0.051924868824506885,0.014478144876888286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017178190346803103,0.0,0.0,0.0,0.0,0.0
0.1836734693877551,-0.004941410570904885,0.006373128772360875,0.00142178143556618,24,22,7,4,18,6,28,1,8,23,0.0,0.013128651779344917,0.0,0.0,0.21303634745128955,0.0,0.033447422770484535,0.11063559328581664,0.109931523260526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09459790869373622,0.0,0.0,0.0,0.034712468183957686,0.08105738878567709,0.05975456035148258,0.0,0.0,0.0,0.2496981354376849,0.0,0.0
0.20408163265306123,-0.004887174821685982,0.006501046969842407,0.0014069265561240756,25,11,18,8,29,20,22,7,14,4,0.0,0.0,0.0,0.0,0.26923375005094874,0.0,0.0,0.053897224349107875,0.1329254322515496,0.0,0.0,0.1860506571260161,0.0,0.0,0.03207581738974168,0.0,0.0,0.0,0.06369722834852405,0.0,0.03093587591329546,0.0,0.021923161999538948,0.0,0.0,0.11734665424878406,0.0,0.0,0.0,0.0919141983224935,0.0
0.22448979591836735,-0.004689227031702844,0.006467399555367067,0.001453550777319018,1,28,4,7,23,2,27,8,22,3,0.0,0.01086934177725107,0.019402637147998045,0.038474412978868465,0.26378768238845424,0.0,0.0,0.21538465781708102,0.18219489628448032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655742362236732,0.07644080788859367,0.0,0.0,0.0,0.10115436432308918,0.026716963170510664,0.0,0.0
0.24489795918367346,-0.0045673235825440224,0.006440912573420592,0.0012095758059920685,19,28,11,17,5,23,14,25,4,8,0.0,0.0,0.0,0.0,0.21442027252352863,0.023280878451696102,0.0,0.0,0.13958429441767345,0.0,0.0,0.16973569170832278,0.0,0.0,0.021120731179145168,0.0,0.0,0.026024955425293823,0.0,0.060068766205126335,0.0,0.0,0.0,0.02571119672465562,0.0,0.1451016213840082,0.0,0.0,0.1749515919805499,0.0,0.0
0.2653061224489796,-0.004294910943402278,0.006237880502378445,0.001085620142993258,5,30,11,28,14,25,7,10,12,4,0.0,0.0,0.0,0.0,0.23699086974277808,0.014840770395333689,0.0,0.02336348432217204,0.0,0.0,0.022025844972540273,0.10584632107043211,0.05538653955596444,0.0,0.1255361814296418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16124588225423178,0.0,0.0,0.23263437396072972,0.0,0.02212973229617605
