F values,Returns,Covariances,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,asset_9,asset_10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
-0.0035944837539885876,0.008412457291181756,0.0012234897832045805,81,33,41,88,42,35,1,22,13,75,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23089575289699574,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.23421686870407982,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.3167364694804639,0.0,0.0,0.0,0.0,0.0,0.0,0.1581509089184606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003594480242278433,0.008411623198503387,0.0012226627139465208,41,33,88,81,1,75,35,22,42,13,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23191231654300096,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.23134241115894133,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.3175255688034523,0.0,0.0,0.0,0.0,0.0,0.0,0.15921970349460554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0035944702491190143,0.008412201804624132,0.001223261306386104,41,88,33,81,22,1,35,42,13,75,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23137563571616773,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.22973532249280396,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.31934715491034094,0.0,0.0,0.0,0.0,0.0,0.0,0.1595418868806874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0035944811446276224,0.008411379812884817,0.0012224175236295724,33,13,88,81,41,35,22,1,42,75,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23176237411633638,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.23386761562358246,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.3157695599030393,0.0,0.0,0.0,0.0,0.0,0.0,0.15860045035704198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003594488674571699,0.008413428180118436,0.001224450830975038,81,41,88,33,1,13,35,75,42,22,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23372567511462228,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.2325383822063987,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.3161609730990136,0.0,0.0,0.0,0.0,0.0,0.0,0.15757496957996547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003594496633234116,0.008419983435509409,0.0012309901690411768,88,81,33,41,75,42,35,22,1,13,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333157061392647,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.2344458974184568,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.3183819934916668,0.0,0.0,0.0,0.0,0.0,0.0,0.15385640295061184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0035944923505477067,0.008414927055535417,0.0012259423544400039,33,88,41,81,1,42,13,75,35,22,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23203810533510205,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.23493982778802094,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.3165535065393904,0.0,0.0,0.0,0.0,0.0,0.0,0.15646856033748652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003594469064850507,0.008409144680520961,0.0012202065508199475,41,88,33,81,1,22,13,42,75,35,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23171344456410656,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.232480467922803,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.315671927781002,0.0,0.0,0.0,0.0,0.0,0.0,0.16013415973208855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003594498721491729,0.008418145748791947,0.0012291483058084894,88,41,33,81,1,75,35,42,13,22,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23257091437271954,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.23397738076709415,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.3183874321882408,0.0,0.0,0.0,0.0,0.0,0.0,0.15506427267194567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003594490545197951,0.008415828352705929,0.0012268472623100264,88,81,1,41,33,35,22,42,13,75,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2340617680810984,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.2308661925638692,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.3182394640848372,0.0,0.0,0.0,0.0,0.0,0.0,0.15683257527019537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
