F values,Returns,Covariances,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,asset_9,asset_10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.0033039845289741148,0.009076737691348426,0.0024687686334001965,4,8,28,11,12,19,3,25,7,14,0.0,0.0,0.0,0.01,0.6138952355131942,0.0,0.0,0.01,0.1855813116161965,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13052345287060924,0.0,0.0
-0.00330399160803846,0.009063241283565664,0.002455258067488744,4,8,28,11,14,3,25,7,19,12,0.0,0.0,0.0,0.01,0.6114201773306375,0.0,0.0,0.01,0.18480911278937198,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13377070987999057,0.0,0.0
-0.003303989811974066,0.00906571717465703,0.0024577375507088975,4,28,8,14,7,3,11,19,25,12,0.0,0.0,0.0,0.01,0.6128902977171412,0.0,0.0,0.01,0.18099919243520832,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1361105098476506,0.0,0.0
-0.003303996005985881,0.009067393652174622,0.0024594016402028594,8,4,28,11,12,25,3,7,14,19,0.0,0.0,0.0,0.01,0.6127814020636603,0.0,0.0,0.01,0.1827142793199271,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13450431861641277,0.0,0.0
-0.0033039929819339373,0.009064118260794653,0.0024561322969267776,4,28,8,11,7,25,19,12,14,3,0.0,0.0,0.0,0.01,0.6116403524780205,0.0,0.0,0.01,0.18462847572080607,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13373117180117344,0.0,0.0
-0.003303988742260403,0.009061903442262079,0.002453925957741273,4,8,28,25,12,3,14,11,7,19,0.0,0.0,0.0,0.01,0.6120543576549737,0.0,0.0,0.01,0.18131205301985526,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13663358932517114,0.0,0.0
-0.003303982143512791,0.009059174886932104,0.0024512105999065217,28,4,8,7,19,11,25,14,12,3,0.0,0.0,0.0,0.01,0.6116691677351636,0.0,0.0,0.01,0.18070795701463685,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13762287525019967,0.0,0.0
-0.003303982941297125,0.00906149830518901,0.0024535324225947604,4,28,8,19,3,14,7,11,25,12,0.0,0.0,0.0,0.01,0.6122220223603134,0.0,0.0,0.01,0.1803478708121333,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13743010682755324,0.0,0.0
-0.0033039896864092196,0.009064934939013366,0.002456955566194926,4,8,28,12,11,7,19,3,25,14,0.0,0.0,0.0,0.01,0.612726531235496,0.0,0.0,0.01,0.18103344324852333,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13624002551598066,0.0,0.0
-0.003303981555461805,0.009059146452923172,0.002451183341999561,4,8,28,19,25,14,3,11,7,12,0.0,0.0,0.0,0.01,0.6103687353435998,0.0,0.0,0.01,0.18574351071547057,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1338877539409297,0.0,0.0
