F values,Returns,Covariances,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,asset_9,asset_10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
-0.0033232190974622692,0.007837643261241851,0.0011912050663173124,17,28,9,1,36,8,81,43,54,70,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0589845105295343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8390760131569891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031939476313476566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0033232191393985926,0.007837949182378453,0.0011915109035812675,17,28,70,36,9,1,43,81,54,8,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05863020764345423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8391670111061434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03220278125040228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0033224623043894117,0.007840881154647797,0.001195956545868974,17,36,9,28,1,43,18,8,81,70,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05745991360956259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8416991746450186,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030840911745418836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003323219147987003,0.007837968191791047,0.0011915298958170416,17,9,70,28,1,81,43,8,54,36,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05866570134515495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8391948141917002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03213948446314503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003323219121701069,0.007837669076602173,0.0011912308332000343,9,17,28,36,43,54,1,81,8,70,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.058888845633636853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8390583633014106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03205279106495261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003323218710716833,0.00783723434266994,0.001190796921236274,17,9,28,70,1,8,54,43,81,36,0.0,0.010000084146536315,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05946053902810873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8389554181133267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315839587120282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0033232187542337147,0.007837401035563924,0.0011909635270964942,17,36,9,28,1,70,43,8,81,54,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05853063492535537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8387211185540953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03274824652054936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0033232188780945556,0.007838115707571243,0.0011916779513821319,17,28,9,43,36,8,81,54,1,70,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0582149210149776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8391308822728629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03265419671215957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0033232183144097822,0.007837539702963907,0.0011911030741443426,17,9,70,28,1,8,81,43,54,36,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05818201265233678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8386899520578577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03312803528980549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0033232179648387933,0.007837872551588276,0.001191436621910689,17,9,1,28,54,36,43,81,8,70,0.0,0.010003313395205299,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.058527445695555146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8390744260407842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03239481486845536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
